city,id,year,1-1,1-2,1-3,1-4,2-1,2-2,2-3,2-4,2-5,3-1,3-2,3-3,3-4,3-5,3-6,4-1,4-2,4-3,4-4
安徽省,ANH,2016,678,99,236,22271,11.27,9.01,12.63,1.47,1.43,154,28,123,50,41,8,782,550.9,231.1,839.6
安徽省,ANH,2015,670,97,230,22030,10.78,8.46,11.93,1.44,1.42,155,28,122,50,44,8,763.3,542.2,221.1,974.3
安徽省,ANH,2014,640,96,215,22014,10.37,8.05,11.15,1.39,1.37,144,34,121,56,43,8,739.9,528,211.9,1016.5
安徽省,ANH,2013,633,92,197,21872,9.86,7.59,10.34,1.4,1.33,142,38,127,58,42,7,716,512.7,203.3,944.9
安徽省,ANH,2012,641,91,183,21812,9.21,7.12,9.5,1.24,1.23,141,35,123,66,41,4,685.2,493.7,191.5,974.8
安徽省,ANH,2011,644,88,168,21434,8.47,6.49,8.45,1.15,1.18,150,26,114,66,42,4,659.3,477.5,181.9,953.6
安徽省,ANH,2010,501,85,132,21751,8.65,6.58,7.73,1.16,1.15,139,21,109,58,36,3,598.5,429.2,169.3,920
福建省,FUJ,2019,376,82,199,26596,9.95,8.51,11.62,1.34,1.11,104,11,63,23,21,6,841.4,678.8,162.6,2946.7
福建省,FUJ,2018,369,80,174,26423,9.11,7.87,10.93,1.25,1.05,106,9,66,22,21,2,853.1,692,161,2951.7
福建省,FUJ,2017,360,80,153,26078,8.4,7.33,10.12,1.15,0.9,107,11,61,23,19,2,819.3,664.3,155.1,2949.3
福建省,FUJ,2016,356,79,139,26190,7.97,6.92,9.56,1.09,0.84,105,10,66,23,17,1,792.1,641.9,150.2,505.8
福建省,FUJ,2015,348,78,133,25876,7.8,6.6,9.04,1.01,0.86,109,8,60,23,18,1,759.4,612.6,146.8,541.9
福建省,FUJ,2014,345,78,123,25994,7.53,6.44,8.57,0.95,0.77,112,9,57,23,17,1,737.3,594.3,143,555.7
福建省,FUJ,2013,339,77,116,26151,7.26,6.19,7.99,0.9,0.69,118,9,52,25,17,1,703,566.6,136.4,580.8
福建省,FUJ,2012,328,75,106,26374,6.67,5.79,7.11,0.79,0.63,123,7,52,19,16,1,666.3,536.1,130.2,596.6
福建省,FUJ,2011,307,71,93,26287,6.25,5.42,6.25,0.71,0.62,111,12,54,18,13,1,579.3,453.1,126.2,637.8
福建省,FUJ,2010,292,71,81,26193,5.86,5.04,5.35,0.64,0.59,89,16,55,16,12,2,546.6,425.9,120.7,637
江西省,JXI,2019,506,110,176,35398,9.64,8.04,12.04,1.03,1.11,59,19,57,27,14,3,579,372,207,4203.4
江西省,JXI,2018,450,106,147,35020,8.73,7.33,11.09,0.93,0.96,62,18,57,26,14,3,573.7,376.4,197.3,4223.7
江西省,JXI,2017,427,104,125,36311,8.36,7.01,10.41,0.92,0.94,62,17,58,23,18,2,558.7,366.9,191.8,4203.7
江西省,JXI,2016,382,101,100,36784,7.92,6.6,9.55,0.86,0.84,55,17,57,26,11,2,591.6,388.8,202.8,1215.4
江西省,JXI,2015,364,101,95,37066,7.68,6.37,8.96,0.81,0.82,56,19,54,26,15,2,585,383.7,201.3,945.5
江西省,JXI,2014,371,100,86,37372,7.46,6.21,8.41,0.73,0.8,48,25,51,30,14,2,579.2,381.5,197.7,915
江西省,JXI,2013,359,98,84,37425,7.03,5.88,7.82,0.71,0.81,49,25,50,27,11,2,569.9,380.2,189.8,906.7
江西省,JXI,2012,360,98,83,38369,6.71,5.64,7.21,0.71,0.77,45,26,56,22,11,3,546.8,366.4,180.4,891.8
江西省,JXI,2011,356,97,81,38063,6.28,5.3,6.44,0.67,0.74,41,30,49,18,9,2,535.9,365,170.9,793.8
江西省,JXI,2010,329,96,72,33019,6.19,5.25,5.84,0.65,0.76,64,31,56,19,10,5,532.1,365.6,166.5,780
山东省,SHD,2019,1507,320,679,79825,31.53,25.98,34.14,4.67,3.25,240,23,96,81,84,43,2173.8,1624.3,549.5,7395.8
山东省,SHD,2018,1550,290,646,77614,29.04,24.53,32.27,4.35,3.18,246,13,101,80,80,44,2072.1,1560.1,512,7364.9
山东省,SHD,2017,1502,263,611,75106,26.46,22.76,29.36,4.14,3.2,225,12,99,73,88,35,2013.1,1526.8,486.3,7282.6
山东省,SHD,2016,1250,196,532,72904,24.49,21.08,26.84,4.02,2.9,219,16,107,82,73,21,1960,1494.4,465.6,7228.8
山东省,SHD,2015,1217,189,494,73041,23.71,20.3,25.42,3.79,2.76,220,21,99,79,71,23,1904.4,1464.5,439.9,7331.4
山东省,SHD,2014,1195,179,454,72834,23.09,19.58,24.57,3.65,2.52,217,20,99,88,63,23,1860.2,1448.8,411.4,2127.8
山东省,SHD,2013,1158,169,436,72108,23.18,19.49,24.01,3.1,2.11,205,24,107,79,69,25,1809.7,1418.1,391.7,1838.2
山东省,SHD,2012,1016,158,360,66462,20.05,16.81,19.17,2.66,1.91,199,27,94,68,70,30,1734.1,1368.5,365.6,1367.1
山东省,SHD,2011,974,157,347,65954,18.6,15.53,17.1,2.45,1.91,220,18,94,57,58,26,1637.1,1299.6,337.5,1310.7
山东省,SHD,2010,917,149,302,64797,18.52,15.37,15.67,2.22,1.85,194,18,69,46,34,13,1541.3,1224.6,316.7,1280
河南省,HEN,2019,1209,317,388,67561,25.14,19.18,27.89,3.69,3.6,153,18,113,87,84,13,1281.6,906.6,375.1,9008.1
河南省,HEN,2018,1118,287,371,67730,23.56,18.04,26.31,3.77,3.64,147,16,118,84,76,11,1265.1,903.8,361.3,9170.6
河南省,HEN,2017,1003,257,331,67307,22.03,16.58,24.16,3.75,3.61,153,9,115,74,81,14,1228.2,883.9,344.4,9182.5
河南省,HEN,2016,985,258,322,67174,20.67,15.21,22.21,3.65,3.46,148,14,105,86,62,9,1227.3,882.7,344.6,1133.4
河南省,HEN,2015,951,238,310,67092,19.86,14.3,20.54,3.53,3.5,144,10,107,86,64,9,1200.7,864.1,336.6,1144.2
河南省,HEN,2014,877,233,285,66952,18.93,13.44,19.11,3.36,3.4,145,11,102,79,57,8,1182.4,855.2,327.2,1157.6
河南省,HEN,2013,879,220,287,67281,18.06,12.6,17.65,3.28,3.28,131,12,106,80,48,6,1140.2,826.8,313.4,1157
河南省,HEN,2012,832,201,243,67252,16.76,11.63,15.6,2.48,2.53,114,12,95,70,50,5,1082.2,789,293.2,1140
河南省,HEN,2011,797,197,217,74208,15.67,11.13,13.71,2.4,2.43,94,6,90,68,39,5,1016.4,744.3,272.2,1105.8
河南省,HEN,2010,794,186,207,73865,15.48,11.02,12.14,2.41,2.53,74,5,64,54,34,5,957.4,698.7,258.7,1060
湖北省,HUB,2019,562,126,310,33919,15.36,12.85,19.42,2.29,2.25,72,5,59,67,115,32,1093.2,761.8,331.4,4469.4
湖北省,HUB,2018,561,123,279,34912,15.2,12.66,19.09,2.21,2.19,82,4,62,59,114,33,1054,732,321.9,4532.2
湖北省,HUB,2017,569,118,261,34756,14.73,12.21,18.43,2.13,2.06,76,3,68,66,104,30,1018.9,702.7,316.2,4603.3
湖北省,HUB,2016,551,115,237,34703,14.17,11.7,17.49,2.05,1.99,80,5,65,61,102,29,961,660.5,300.5,1020.8
湖北省,HUB,2015,532,109,208,34563,13.6,11.22,16.51,1.95,1.96,83,5,68,62,95,29,949.4,653.1,296.3,1022.7
湖北省,HUB,2014,483,102,169,34503,12.61,10.39,14.41,1.74,1.81,104,2,61,51,85,22,933.3,646.4,286.9,1034.7
湖北省,HUB,2013,444,98,153,34042,11.72,9.65,12.79,1.69,1.78,123,3,58,51,80,19,922.8,642.1,280.7,1037.8
湖北省,HUB,2012,414,95,126,34063,10.91,9.01,11.57,1.53,1.67,120,5,60,52,74,20,921.2,656.5,264.7,1039.1
湖北省,HUB,2011,393,91,111,34509,10.21,8.53,10.21,1.47,1.69,126,6,62,56,59,22,902.8,648.2,254.6,1029.7
湖北省,HUB,2010,394,87,107,33164,9.95,8.37,9.38,1.41,1.68,51,9,50,49,45,18,847.8,608,239.8,1019
湖南省,HUN,2019,875,187,506,54859,19.05,14.73,24.05,2,2.48,49,18,118,76,86,23,930.6,631.6,299,5785.4
湖南省,HUN,2018,877,174,454,53788,18.09,13.94,18.4,2.09,2.43,45,17,115,70,88,21,898.5,605.9,292.6,5939.5
湖南省,HUN,2017,773,144,361,56302,17.3,13.26,17.26,1.96,2.25,47,17,123,60,74,16,867.1,581.8,285.4,6039.1
湖南省,HUN,2016,745,141,340,58245,16.06,12.24,16.15,1.85,2.3,55,19,116,61,48,14,829.6,557.1,272.5,1816.6
湖南省,HUN,2015,703,138,300,58586,15.08,11.24,14.93,1.78,2.38,58,17,112,56,44,9,818.8,551.7,267.1,1843.6
湖南省,HUN,2014,612,135,249,57637,13.34,9.91,13.62,1.77,2.28,62,22,107,53,32,8,807.9,546.1,261.8,1492.8
湖南省,HUN,2013,564,133,205,58519,12.72,9.4,12.57,1.7,2.23,73,19,103,42,34,5,799.3,541.7,257.5,1516.9
湖南省,HUN,2012,493,128,161,57177,11.64,8.65,11.29,1.44,1.76,69,17,103,42,30,6,797.6,548.8,248.8,1544.3
湖南省,HUN,2011,486,129,151,58214,11.26,8.32,10.19,1.34,1.75,64,21,100,39,31,6,789.5,546.6,242.9,1151.7
湖南省,HUN,2010,482,126,127,57972,11.04,8.18,9.23,1.22,1.74,49,20,102,39,25,3,777.4,540.5,236.9,1000
广东省,GUD,2019,911,170,501,51064,29.11,24.36,35.63,3.04,3.5,940,14,57,51,61,13,4375.7,3850.2,525.6,6407.7
广东省,GUD,2018,882,167,458,48684,27.64,22.92,33.46,2.83,3.36,912,17,55,52,60,15,4170.7,3665.4,505.3,6445.1
广东省,GUD,2017,844,163,423,47071,25.8,21.27,30.77,2.69,3.22,904,21,52,52,57,12,3962.6,3483.5,479.1,6402.4
广东省,GUD,2016,813,155,385,46033,24.32,19.95,28.38,2.64,3.12,892,22,53,50,52,13,3814.1,3353.5,460.6,6336.1
广东省,GUD,2015,793,149,359,45013,22.85,18.68,25.41,2.39,3.04,887,21,55,53,49,13,3711.8,3272.2,439.7,6424.2
广东省,GUD,2014,760,148,337,44675,21.68,17.61,23.35,2.34,2.9,872,17,63,49,43,13,3647.1,3226.1,420.9,6157.1
广东省,GUD,2013,740,142,326,44470,21.03,17.02,21.76,2.31,3.01,850,19,66,46,42,13,3473,3089.2,383.8,5706.8
广东省,GUD,2012,727,142,305,44585,19.9,15.94,19.95,2.09,2.74,820,17,63,48,44,11,3373.4,3010.6,362.8,5048.4
广东省,GUD,2011,694,141,278,44034,18.62,14.85,18.27,2.09,2.85,823,15,67,46,40,11,3234.3,2893.8,340.5,3532.8
